campanha,tipo_campanha,canal,grupo
CRM_REST_AQUISICAO_CRM_CONTAS_MORNO_6_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CONTAS_P1_18_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CONTAS_QUENTE_13_9_2022_E-MAIL,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CONTAS_QUENTE_13_9_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_13_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_15_9_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_18_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_1MES_29_8_2022_E-MAIL,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_1MES_29_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_ABANDONO_31_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_BENEFICIOS_26_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_FDS_27_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_LIBERADO_NOVEMBRO_OFERTAS_11_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_MSG_COMERCIAL_25_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_SABADO_24_9_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_SEMANA1_4_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CPF_TOOLKIT_23_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_ENTRE_omie_24_MESES_10_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_ENTRE_omie_24_MESES_14_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_ENTRE_omie_24_MESES_17_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_EXPANSAODEHUB_6_9_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_LEADS_TRESMESES_26_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_PROSPECTS_SEM_CNPJ_20_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_PROSPECTS_SEM_CNPJ_26_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_RECUPERACAO_BASE_CHURNADA_6_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_SEGUNDO+DISPARO_26_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_TESTE_CONTAS_1_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_TESTE_CONTAS_BLACK_FRIDAY_11_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
